Book,Chapter,Verse,Original_User_Text,Authoritative_Text,Replaced
Genesis,1,16,ויעש אלהים את שני המארת הגדלים את המאור הגדל לממשלת היום ואת המאור הקטן לממשלת הלילה ואת הכוכבים,ויעש אלהים את שני המארת הגדלים את המאור הגדל לממשלת היום ואת המאור הקטן לממשלת הלילה ואת הכוכבים,NO
Genesis,1,17,ויתן אתם אלהים ברקיע השמים להאיר על הארץ,ויתן אתם אלהים ברקיע השמים להאיר על הארץ,NO
Genesis,1,18,ולמשל ביום ובלילה ולהבדיל בין האור ובין החשך וירא אלהים כי טוב,ולמשל ביום ובלילה ולהבדיל בין האור ובין החשך וירא אלהים כי טוב,NO
Genesis,1,19,ויהי ערב ויהי בקר יום רביעי,ויהי ערב ויהי בקר יום רביעי,NO
Genesis,1,20,ויאמר אלהים ישרצו המים שרץ נפש חיה ועוף יעופף על הארץ על פני רקיע השמים,ויאמר אלהים ישרצו המים שרץ נפש חיה ועוף יעופף על הארץ על פני רקיע השמים,NO
Genesis,1,21,ויברא אלהים את התנינם הגדלים ואת כל נפש החיה הרמשת אשר שרצו המים למינהם ואת כל עוף כנף למינהו וירא אלהים כי טוב,ויברא אלהים את התנינם הגדלים ואת כל נפש החיה הרמשת אשר שרצו המים למינהם ואת כל עוף כנף למינהו וירא אלהים כי טוב,NO
Genesis,1,22,ויברך אתם אלהים לאמר פרו ורבו ומלאו את המים בימים והעוף ירב בארץ,ויברך אתם אלהים לאמר פרו ורבו ומלאו את המים בימים והעוף ירב בארץ,NO
Genesis,1,23,ויהי ערב ויהי בקר יום חמישי,ויהי ערב ויהי בקר יום חמישי,NO
Genesis,1,24,ויאמר אלהים תוצא הארץ נפש חיה למינה בהמה ורמש וחיתו ארץ למינה ויהי כן,ויאמר אלהים תוצא הארץ נפש חיה למינה בהמה ורמש וחיתו ארץ למינה ויהי כן,NO
Genesis,1,25,ויעש אלהים את חית הארץ למינה ואת הבהמה למינה ואת כל רמש האדמה למינהו וירא אלהים כי טוב,ויעש אלהים את חית הארץ למינה ואת הבהמה למינה ואת כל רמש האדמה למינהו וירא אלהים כי טוב,NO
Genesis,1,26,ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכל הארץ ובכל הרמש הרמש על הארץ,ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכל הארץ ובכל הרמש הרמש על הארץ,NO
Genesis,1,27,ויברא אלהים את האדם בצלמו בצלם אלהים ברא אתו זכר ונקבה ברא אתם,ויברא אלהים את האדם בצלמו בצלם אלהים ברא אתו זכר ונקבה ברא אתם,NO
Genesis,1,28,ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו את הארץ וכבשה ורדו בדגת הים ובעוף השמים ובכל חיה הרמשת על הארץ,ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו את הארץ וכבשה ורדו בדגת הים ובעוף השמים ובכל חיה הרמשת על הארץ,NO
Genesis,1,29,ויאמר אלהים הנה נתתי לכם את כל עשב זרע זרע אשר על פני כל הארץ ואת כל העץ אשר בו פרי עץ זרע זרע לכם יהיה לאכלה,ויאמר אלהים הנה נתתי לכם את כל עשב זרע זרע אשר על פני כל הארץ ואת כל העץ אשר בו פרי עץ זרע זרע לכם יהיה לאכלה,NO
Genesis,1,30,ולכל חית הארץ ולכל עוף השמים ולכל רומש על הארץ אשר בו נפש חיה את כל ירק עשב לאכלה ויהי כן,ולכל חית הארץ ולכל עוף השמים ולכל רומש על הארץ אשר בו נפש חיה את כל ירק עשב לאכלה ויהי כן,NO
Genesis,1,31,וירא אלהים את כל אשר עשה והנה טוב מאד ויהי ערב ויהי בקר יום הששי,וירא אלהים את כל אשר עשה והנה טוב מאד ויהי ערב ויהי בקר יום הששי,NO
Genesis,2,1,ויכלו השמים והארץ וכל צבאם,ויכלו השמים והארץ וכל צבאם,NO
Genesis,2,2,ויכל אלהים ביום השביעי מלאכתו אשר עשה וישבת ביום השביעי מכל מלאכתו אשר עשה,ויכל אלהים ביום השביעי מלאכתו אשר עשה וישבת ביום השביעי מכל מלאכתו אשר עשה,NO
Genesis,2,3,ויברך אלהים את יום השביעי ויקדש אתו כי בו שבת מכל מלאכתו אשר ברא אלהים לעשות,ויברך אלהים את יום השביעי ויקדש אתו כי בו שבת מכל מלאכתו אשר ברא אלהים לעשות,NO
Genesis,2,4,אלה תולדות השמים והארץ בהבראם ביום עשות יהוה אלהים ארץ ושמים,אלה תולדות השמים והארץ בהבראם ביום עשות יהוה אלהים ארץ ושמים,NO
Genesis,2,5,וכל שיח השדה טרם יהיה בארץ וכל עשב השדה טרם יצמח כי לא המטיר יהוה אלהים על הארץ ואדם אין לעבד את האדמה,וכל שיח השדה טרם יהיה בארץ וכל עשב השדה טרם יצמח כי לא המטיר יהוה אלהים על הארץ ואדם אין לעבד את האדמה,NO
Genesis,2,6,ואד יעלה מן הארץ והשקה את כל פני האדמה,ואד יעלה מן הארץ והשקה את כל פני האדמה,NO
Genesis,2,7,וייצר יהוה אלהים את האדם עפר מן האדמה ויפח באפיו נשמת חיים ויהי האדם לנפש חיה,וייצר יהוה אלהים את האדם עפר מן האדמה ויפח באפיו נשמת חיים ויהי האדם לנפש חיה,NO
Genesis,2,8,ויטע יהוה אלהים גן בעדן מקדם וישם שם את האדם אשר יצר,ויטע יהוה אלהים גן בעדן מקדם וישם שם את האדם אשר יצר,NO
Genesis,2,9,ויצמח יהוה אלהים מן האדמה כל עץ נחמד למראה וטוב למאכל ועץ החיים בתוך הגן ועץ הדעת טוב ורע,ויצמח יהוה אלהים מן האדמה כל עץ נחמד למראה וטוב למאכל ועץ החיים בתוך הגן ועץ הדעת טוב ורע,NO
Genesis,2,10,ונהר יצא מעדן להשקות את הגן ומשם יפרד והיה לארבעה ראשים,ונהר יצא מעדן להשקות את הגן ומשם יפרד והיה לארבעה ראשים,NO
Genesis,2,11,שם האחד פישון הוא הסבב את כל ארץ החוילה אשר שם הזהב,שם האחד פישון הוא הסבב את כל ארץ החוילה אשר שם הזהב,NO
Genesis,2,12,וזהב הארץ ההוא טוב שם הבדלח ואבן השהם,וזהב הארץ ההוא טוב שם הבדלח ואבן השהם,NO
Genesis,2,13,ושם הנהר השני גיחון הוא הסובב את כל ארץ כוש,ושם הנהר השני גיחון הוא הסובב את כל ארץ כוש,NO
Genesis,2,14,ושם הנהר השלישי חדקל הוא ההלך קדמת אשור והנהר הרביעי הוא פרת,ושם הנהר השלישי חדקל הוא ההלך קדמת אשור והנהר הרביעי הוא פרת,NO
Genesis,2,15,ויקח יהוה אלהים את האדם וינחהו בגן עדן לעבדה ולשמרה,ויקח יהוה אלהים את האדם וינחהו בגן עדן לעבדה ולשמרה,NO
Genesis,2,16,ויצו יהוה אלהים על האדם לאמר מכל עץ הגן אכל תאכל,ויצו יהוה אלהים על האדם לאמר מכל עץ הגן אכל תאכל,NO
Genesis,2,17,ומעץ הדעת טוב ורע לא תאכל ממנו כי ביום אכלך ממנו מות תמות,ומעץ הדעת טוב ורע לא תאכל ממנו כי ביום אכלך ממנו מות תמות,NO
Genesis,2,18,ויאמר יהוה אלהים לא טוב היות האדם לבדו אעשה לו עזר כנגדו,ויאמר יהוה אלהים לא טוב היות האדם לבדו אעשה לו עזר כנגדו,NO
Genesis,2,19,ויצר יהוה אלהים מן האדמה כל חית השדה ואת כל עוף השמים ויבא אל האדם לראות מה יקרא לו וכל אשר יקרא לו האדם נפש חיה הוא שמו,ויצר יהוה אלהים מן האדמה כל חית השדה ואת כל עוף השמים ויבא אל האדם לראות מה יקרא לו וכל אשר יקרא לו האדם נפש חיה הוא שמו,NO
Genesis,2,20,ויקרא האדם שמות לכל הבהמה ולעוף השמים ולכל חית השדה ולאדם לא מצא עזר כנגדו,ויקרא האדם שמות לכל הבהמה ולעוף השמים ולכל חית השדה ולאדם לא מצא עזר כנגדו,NO
Genesis,2,21,ויפל יהוה אלהים תרדמה על האדם ויישן ויקח אחת מצלעתיו ויסגר בשר תחתנה,ויפל יהוה אלהים תרדמה על האדם ויישן ויקח אחת מצלעתיו ויסגר בשר תחתנה,NO
Genesis,2,22,ויבן יהוה אלהים את הצלע אשר לקח מן האדם לאשה ויבאה אל האדם,ויבן יהוה אלהים את הצלע אשר לקח מן האדם לאשה ויבאה אל האדם,NO
Genesis,2,23,ויאמר האדם זאת הפעם עצם מעצמי ובשר מבשרי לזאת יקרא אשה כי מאיש לקחה זאת,ויאמר האדם זאת הפעם עצם מעצמי ובשר מבשרי לזאת יקרא אשה כי מאיש לקחה זאת,NO
Genesis,2,24,על כן יעזב איש את אביו ואת אמו ודבק באשתו והיו לבשר אחד,על כן יעזב איש את אביו ואת אמו ודבק באשתו והיו לבשר אחד,NO
Genesis,2,25,ויהיו שניהם ערומים האדם ואשתו ולא יתבששו,ויהיו שניהם ערומים האדם ואשתו ולא יתבששו,NO
Genesis,3,1,והנחש היה ערום מכל חית השדה אשר עשה יהוה אלהים ויאמר אל האשה אף כי אמר אלהים לא תאכלו מכל עץ הגן,והנחש היה ערום מכל חית השדה אשר עשה יהוה אלהים ויאמר אל האשה אף כי אמר אלהים לא תאכלו מכל עץ הגן,NO
Genesis,3,2,ותאמר האשה אל הנחש מפרי עץ הגן נאכל,ותאמר האשה אל הנחש מפרי עץ הגן נאכל,NO
Genesis,3,3,ומפרי העץ אשר בתוך הגן אמר אלהים לא תאכלו ממנו ולא תגעו בו פן תמתון,ומפרי העץ אשר בתוך הגן אמר אלהים לא תאכלו ממנו ולא תגעו בו פן תמתון,NO
Genesis,3,4,ויאמר הנחש אל האשה לא מות תמתון,ויאמר הנחש אל האשה לא מות תמתון,NO
Genesis,3,5,כי ידע אלהים כי ביום אכלכם ממנו ונפקחו עיניכם והייתם כאלהים ידעי טוב ורע,כי ידע אלהים כי ביום אכלכם ממנו ונפקחו עיניכם והייתם כאלהים ידעי טוב ורע,NO
Genesis,3,6,ותרא האשה כי טוב העץ למאכל וכי תאוה הוא לעינים ונחמד העץ להשכיל ותקח מפריו ותאכל ותתן גם לאישה עמה ויאכל,ותרא האשה כי טוב העץ למאכל וכי תאוה הוא לעינים ונחמד העץ להשכיל ותקח מפריו ותאכל ותתן גם לאישה עמה ויאכל,NO
Genesis,3,7,ותפקחנה עיני שניהם וידעו כי עירמם הם ויתפרו עלה תאנה ויעשו להם חגרת,ותפקחנה עיני שניהם וידעו כי עירמם הם ויתפרו עלה תאנה ויעשו להם חגרת,NO
Genesis,3,8,וישמעו את קול יהוה אלהים מתהלך בגן לרוח היום ויתחבא האדם ואשתו מפני יהוה אלהים בתוך עץ הגן,וישמעו את קול יהוה אלהים מתהלך בגן לרוח היום ויתחבא האדם ואשתו מפני יהוה אלהים בתוך עץ הגן,NO
Genesis,3,9,ויקרא יהוה אלהים אל האדם ויאמר לו איכה,ויקרא יהוה אלהים אל האדם ויאמר לו איכה,NO
Genesis,3,10,ויאמר את קלך שמעתי בגן ואירא כי עירם אנכי ואחבא,ויאמר את קלך שמעתי בגן ואירא כי עירם אנכי ואחבא,NO
Genesis,3,11,ויאמר מי הגיד לך כי עירם אתה המן העץ אשר צויתיך לבלתי אכל ממנו אכלת,ויאמר מי הגיד לך כי עירם אתה המן העץ אשר צויתיך לבלתי אכל ממנו אכלת,NO
Genesis,3,12,ויאמר האדם האשה אשר נתתה עמדי הוא נתנה לי מן העץ ואכל,ויאמר האדם האשה אשר נתתה עמדי הוא נתנה לי מן העץ ואכל,NO
Genesis,3,13,ויאמר יהוה אלהים לאשה מה זאת עשית ותאמר האשה הנחש השיאני ואכל,ויאמר יהוה אלהים לאשה מה זאת עשית ותאמר האשה הנחש השיאני ואכל,NO
Genesis,3,14,ויאמר יהוה אלהים אל הנחש כי עשית זאת ארור אתה מכל הבהמה ומכל חית השדה על גחנך תלך ועפר תאכל כל ימי חייך,ויאמר יהוה אלהים אל הנחש כי עשית זאת ארור אתה מכל הבהמה ומכל חית השדה על גחנך תלך ועפר תאכל כל ימי חייך,NO
Genesis,3,15,ואיבה אשית בינך ובין האשה ובין זרעך ובין זרעה הוא ישופך ראש ואתה תשופנו עקב,ואיבה אשית בינך ובין האשה ובין זרעך ובין זרעה הוא ישופך ראש ואתה תשופנו עקב,NO
Genesis,3,16,אל האשה אמר הרבה ארבה עצבונך והרנך בעצב תלדי בנים ואל אישך תשוקתך והוא ימשל בך,אל האשה אמר הרבה ארבה עצבונך והרנך בעצב תלדי בנים ואל אישך תשוקתך והוא ימשל בך,NO
Genesis,3,17,ולאדם אמר כי שמעת לקול אשתך ותאכל מן העץ אשר צויתיך לאמר לא תאכל ממנו ארורה האדמה בעבורך בעצבון תאכלנה כל ימי חייך,ולאדם אמר כי שמעת לקול אשתך ותאכל מן העץ אשר צויתיך לאמר לא תאכל ממנו ארורה האדמה בעבורך בעצבון תאכלנה כל ימי חייך,NO
Genesis,3,18,וקוץ ודרדר תצמיח לך ואכלת את עשב השדה,וקוץ ודרדר תצמיח לך ואכלת את עשב השדה,NO
Genesis,3,19,בזעת אפיך תאכל לחם עד שובך אל האדמה כי ממנה לקחת כי עפר אתה ואל עפר תשוב,בזעת אפיך תאכל לחם עד שובך אל האדמה כי ממנה לקחת כי עפר אתה ואל עפר תשוב,NO
Genesis,3,20,ויקרא האדם שם אשתו חוה כי הוא היתה אם כל חי,ויקרא האדם שם אשתו חוה כי הוא היתה אם כל חי,NO
Genesis,3,21,ויעש יהוה אלהים לאדם ולאשתו כתנות עור וילבשם,ויעש יהוה אלהים לאדם ולאשתו כתנות עור וילבשם,NO
Genesis,3,22,ויאמר יהוה אלהים הן האדם היה כאחד ממנו לדעת טוב ורע ועתה פן ישלח ידו ולקח גם מעץ החיים ואכל וחי לעלם,ויאמר יהוה אלהים הן האדם היה כאחד ממנו לדעת טוב ורע ועתה פן ישלח ידו ולקח גם מעץ החיים ואכל וחי לעלם,NO
Genesis,3,23,וישלחהו יהוה אלהים מגן עדן לעבד את האדמה אשר לקח משם,וישלחהו יהוה אלהים מגן עדן לעבד את האדמה אשר לקח משם,NO
Genesis,3,24,ויגרש את האדם וישכן מקדם לגן עדן את הכרבים ואת להט החרב המתהפכת לשמר את דרך עץ החיים,ויגרש את האדם וישכן מקדם לגן עדן את הכרבים ואת להט החרב המתהפכת לשמר את דרך עץ החיים,NO
Genesis,4,1,והאדם ידע את חוה אשתו ותהר ותלד את קין ותאמר קניתי איש את יהוה,והאדם ידע את חוה אשתו ותהר ותלד את קין ותאמר קניתי איש את יהוה,NO
Genesis,4,2,ותסף ללדת את אחיו את הבל ויהי הבל רעה צאן וקין היה עבד אדמה,ותסף ללדת את אחיו את הבל ויהי הבל רעה צאן וקין היה עבד אדמה,NO
Genesis,4,3,ויהי מקץ ימים ויבא קין מפרי האדמה מנחה ליהוה,ויהי מקץ ימים ויבא קין מפרי האדמה מנחה ליהוה,NO
Genesis,4,4,והבל הביא גם הוא מבכרות צאנו ומחלבהן וישע יהוה אל הבל ואל מנחתו,והבל הביא גם הוא מבכרות צאנו ומחלבהן וישע יהוה אל הבל ואל מנחתו,NO
Genesis,4,5,ואל קין ואל מנחתו לא שעה ויחר לקין מאד ויפלו פניו,ואל קין ואל מנחתו לא שעה ויחר לקין מאד ויפלו פניו,NO
Genesis,4,6,ויאמר יהוה אל קין למה חרה לך ולמה נפלו פניך,ויאמר יהוה אל קין למה חרה לך ולמה נפלו פניך,NO
Genesis,4,7,הלוא אם תיטיב שאת ואם לא תיטיב לפתח חטאת רבץ ואליך תשוקתו ואתה תמשל בו,הלוא אם תיטיב שאת ואם לא תיטיב לפתח חטאת רבץ ואליך תשוקתו ואתה תמשל בו,NO
Genesis,4,8,ויאמר קין אל הבל אחיו נצאה השדה ויהי בהיותם בשדה ויקם קין אל הבל אחיו ויהרגהו,ויאמר קין אל הבל אחיו נצאה השדה ויהי בהיותם בשדה ויקם קין אל הבל אחיו ויהרגהו,NO
Genesis,4,9,ויאמר יהוה אל קין אי הבל אחיך ויאמר לא ידעתי השמר אחי אנכי,ויאמר יהוה אל קין אי הבל אחיך ויאמר לא ידעתי השמר אחי אנכי,NO
Genesis,4,10,ויאמר מה עשית קול דמי אחיך צעקים אלי מן האדמה,ויאמר מה עשית קול דמי אחיך צעקים אלי מן האדמה,NO
Genesis,4,11,ועתה ארור אתה מן האדמה אשר פצתה את פיה לקחת את דמי אחיך מידך,ועתה ארור אתה מן האדמה אשר פצתה את פיה לקחת את דמי אחיך מידך,NO
Genesis,4,12,כי תעבד את האדמה לא תסף תת כחה לך נע ונד תהיה בארץ,כי תעבד את האדמה לא תסף תת כחה לך נע ונד תהיה בארץ,NO
Genesis,4,13,ויאמר קין אל יהוה גדול עוני מנשא,ויאמר קין אל יהוה גדול עוני מנשא,NO
Genesis,4,14,הן גרשת אתי היום מעל פני האדמה ומפניך אסתר והייתי נע ונד בארץ והיה כל מצאי יהרגני,הן גרשת אתי היום מעל פני האדמה ומפניך אסתר והייתי נע ונד בארץ והיה כל מצאי יהרגני,NO
Genesis,4,15,ויאמר לו יהוה לכן כל הרג קין שבעתים יקם וישם יהוה לקין אות לבלתי הכות אתו כל מצאו,ויאמר לו יהוה לכן כל הרג קין שבעתים יקם וישם יהוה לקין אות לבלתי הכות אתו כל מצאו,NO
Genesis,4,16,ויצא קין מלפני יהוה וישב בארץ נוד קדמת עדן,ויצא קין מלפני יהוה וישב בארץ נוד קדמת עדן,NO
Genesis,4,17,וידע קין את אשתו ותהר ותלד את חנוך ויהי בנה עיר ויקרא שם העיר כשם בנו חנוך,וידע קין את אשתו ותהר ותלד את חנוך ויהי בנה עיר ויקרא שם העיר כשם בנו חנוך,NO
Genesis,4,18,ויולד לחנוך את עירד ועירד ילד את מחויאל ומחייאל ילד את מתושאל ומתושאל ילד את למך,ויולד לחנוך את עירד ועירד ילד את מחויאל ומחייאל ילד את מתושאל ומתושאל ילד את למך,NO
Genesis,4,19,ויקח לו למך שתי נשים שם האחת עדה ושם השנית צלה,ויקח לו למך שתי נשים שם האחת עדה ושם השנית צלה,NO
Genesis,4,20,ותלד עדה את יבל הוא היה אבי ישב אהל ומקנה,ותלד עדה את יבל הוא היה אבי ישב אהל ומקנה,NO
Genesis,4,21,ושם אחיו יובל הוא היה אבי כל תפש כנור ועוגב,ושם אחיו יובל הוא היה אבי כל תפש כנור ועוגב,NO
Genesis,4,22,וצלה גם הוא ילדה את תובל קין לטש כל חרש נחשת וברזל ואחות תובל קין נעמה,וצלה גם הוא ילדה את תובל קין לטש כל חרש נחשת וברזל ואחות תובל קין נעמה,NO
Genesis,4,23,ויאמר למך לנשיו עדה וצלה שמען קולי נשי למך האזנה אמרתי כי איש הרגתי לפצעי וילד לחברתי,ויאמר למך לנשיו עדה וצלה שמען קולי נשי למך האזנה אמרתי כי איש הרגתי לפצעי וילד לחברתי,NO
Genesis,4,24,כי שבעתים יקם קין ולמך שבעים ושבעה,כי שבעתים יקם קין ולמך שבעים ושבעה,NO
Genesis,4,25,וידע אדם עוד את אשתו ותלד בן ותקרא את שמו שת כי שת לי אלהים זרע אחר תחת הבל כי הרגו קין,וידע אדם עוד את אשתו ותלד בן ותקרא את שמו שת כי שת לי אלהים זרע אחר תחת הבל כי הרגו קין,NO
Genesis,4,26,ולשת גם הוא ילד בן ויקרא את שמו אנוש אז הוחל לקרא בשם יהוה,ולשת גם הוא ילד בן ויקרא את שמו אנוש אז הוחל לקרא בשם יהוה,NO
Genesis,5,1,זה ספר תולדת אדם ביום ברא אלהים אדם בדמות אלהים עשה אתו,זה ספר תולדת אדם ביום ברא אלהים אדם בדמות אלהים עשה אתו,NO
Genesis,5,2,זכר ונקבה בראם ויברך אתם ויקרא את שמם אדם ביום הבראם,זכר ונקבה בראם ויברך אתם ויקרא את שמם אדם ביום הבראם,NO
Genesis,5,3,ויחי אדם מאתים ושלשים שנה ויולד בדמותו כצלמו ויקרא את שמו שת,ויהי כל ימי אדם אשר חי תשע מאות ושלשים שנה וימת,YES
Genesis,5,4,ויהיו ימי אדם אחרי הולידו את שת שמנה מאת שנה ויולד בנים ובנות,ויהיו ימי אדם אחרי הולידו את שת שמנה מאת שנה ויולד בנים ובנות,NO
Genesis,5,5,ויהיו כל ימי אדם אשר חי תשע מאות שנה ושלשים שנה וימת,ויהיו כל ימי אדם אשר חי תשע מאות שנה ושלשים שנה וימת,NO
Genesis,5,6,ויחי שת מאתים וחמש שנים ויולד את אנוש,ויהי כל ימי שת שתים עשרה שנה ומאת שנה וימת,YES
Genesis,5,7,ויחי שת אחרי הולידו את אנוש שבע שנים ושמנה מאות שנה ויולד בנים ובנות,ויחי שת אחרי הולידו את אנוש שבע שנים ושמנה מאות שנה ויולד בנים ובנות,NO
Genesis,5,8,ויהיו כל ימי שת שתים עשרה שנה ותשע מאות שנה וימת,ויהיו כל ימי שת שתים עשרה שנה ותשע מאות שנה וימת,NO
Genesis,5,9,ויחי אנוש מאה ותשעים שנה ויולד את קינן,ויהי כל ימי אנוש תשע מאות וחמש שנים וימת,YES
Genesis,5,10,ויחי אנוש אחרי הולידו את קינן חמש עשרה שנה ושמנה מאות שנה ויולד בנים ובנות,ויחי אנוש אחרי הולידו את קינן חמש עשרה שנה ושמנה מאות שנה ויולד בנים ובנות,NO
Genesis,5,11,ויהיו כל ימי אנוש חמש שנים ותשע מאות שנה וימת,ויהיו כל ימי אנוש חמש שנים ותשע מאות שנה וימת,NO
Genesis,5,12,ויחי קינן מאה ושבעים שנה ויולד את מהללאל,ויהי כל ימי קינן תשע מאות ועשר שנים וימת,YES
Genesis,5,13,ויחי קינן אחרי הולידו את מהללאל ארבעים שנה ושמנה מאות שנה ויולד בנים ובנות,ויחי קינן אחרי הולידו את מהללאל ארבעים שנה ושמנה מאות שנה ויולד בנים ובנות,NO
Genesis,5,14,ויהיו כל ימי קינן עשר שנים ותשע מאות שנה וימת,ויהיו כל ימי קינן עשר שנים ותשע מאות שנה וימת,NO
Genesis,5,15,ויחי מהללאל מאה וששים וחמש שנה ויולד את ירד,ויהי כל ימי מהללאל שמנה מאות וחמש ותשעים שנה וימת,YES
Genesis,5,16,ויחי מהללאל אחרי הולידו את ירד שלשים שנה ושמנה מאות שנה ויולד בנים ובנות,ויחי מהללאל אחרי הולידו את ירד שלשים שנה ושמנה מאות שנה ויולד בנים ובנות,NO
Genesis,5,17,ויהיו כל ימי מהללאל חמש ותשעים שנה ושמנה מאות שנה וימת,ויהיו כל ימי מהללאל חמש ותשעים שנה ושמנה מאות שנה וימת,NO
Genesis,5,18,ויחי ירד מאה וששים ושנים שנה ויולד את חנוך,ויהי כל ימי ירד תשע מאות וששים ושתים שנה וימת,YES
Genesis,5,19,ויחי ירד אחרי הולידו את חנוך שמנה מאות שנה ויולד בנים ובנות,ויחי ירד אחרי הולידו את חנוך שמנה מאות שנה ויולד בנים ובנות,NO
Genesis,5,20,ויהיו כל ימי ירד שתים וששים שנה ותשע מאות שנה וימת,ויהיו כל ימי ירד שתים וששים שנה ותשע מאות שנה וימת,NO
Genesis,5,21,ויחי חנוך מאה וששים וחמש שנה ויולד את מתושלח,ויהי כל ימי חנוך שלש מאות וששים וחמש שנה,YES
Genesis,5,22,ויתהלך חנוך את האלהים אחרי הולידו את מתושלח שלש מאות שנה ויולד בנים ובנות,ויתהלך חנוך את האלהים אחרי הולידו את מתושלח שלש מאות שנה ויולד בנים ובנות,NO
Genesis,5,23,ויהי כל ימי חנוך חמש וששים שנה ושלש מאות שנה,ויהי כל ימי חנוך חמש וששים שנה ושלש מאות שנה,NO
Genesis,5,24,ויתהלך חנוך את האלהים ואיננו כי לקח אתו אלהים,ויתהלך חנוך את האלהים ואיננו כי לקח אתו אלהים,NO
Genesis,5,25,ויחי מתושלח מאה ושמנים ושבע שנה ויולד את למך,ויהי כל ימי מתושלח תשע מאות וששים ותשע שנה וימת,YES
Genesis,5,26,ויחי מתושלח אחרי הולידו את למך שתים ושמונים שנה ושבע מאות שנה ויולד בנים ובנות,ויחי מתושלח אחרי הולידו את למך שתים ושמונים שנה ושבע מאות שנה ויולד בנים ובנות,NO
Genesis,5,27,ויהיו כל ימי מתושלח תשע וששים שנה ותשע מאות שנה וימת,ויהיו כל ימי מתושלח תשע וששים שנה ותשע מאות שנה וימת,NO
Genesis,5,28,ויחי למך מאה ושמנים ושמנה שנה ויולד בן,ויהי כל ימי למך שבע מאות ושבעים ושבע שנה וימת,YES
Genesis,5,29,ויקרא את שמו נח לאמר זה ינחמנו ממעשנו ומעצבון ידינו מן האדמה אשר אררה יהוה,ויקרא את שמו נח לאמר זה ינחמנו ממעשנו ומעצבון ידינו מן האדמה אשר אררה יהוה,NO
